datetime_CST,Wind_CF,wind_speed,PV_CF,DNI,DHI,Temperature
2022-01-01 08:00:00,0.093,4.555,0.019,0.002,0.037,7.935
2022-01-01 09:00:00,0.093,4.551,0.077,0.004,0.097,8.567
2022-01-01 10:00:00,0.108,4.764,0.136,0.008,0.156,9.514
2022-01-01 11:00:00,0.105,4.724,0.192,0.013,0.211,10.6
2022-01-01 12:00:00,0.084,4.414,0.226,0.017,0.244,11.616
2022-01-01 13:00:00,0.057,3.962,0.245,0.021,0.261,12.503
2022-01-01 14:00:00,0.037,3.542,0.215,0.018,0.233,13.098
2022-01-01 15:00:00,0.025,3.248,0.162,0.013,0.18,13.371
2022-01-01 16:00:00,0.015,2.922,0.092,0.007,0.112,13.279
2022-01-01 17:00:00,0.005,2.374,0.021,0.003,0.04,12.484
2022-01-01 18:00:00,0.001,1.9,0.0,0.0,0.001,11.459
2022-01-01 19:00:00,0.001,1.785,0.0,0.0,0.0,11.158
2022-01-01 20:00:00,0.001,1.754,0.0,0.0,0.0,10.785
2022-01-01 21:00:00,0.0,1.544,0.0,0.0,0.0,10.411
2022-01-01 22:00:00,0.0,1.564,0.0,0.0,0.0,9.978
2022-01-01 23:00:00,0.001,1.835,0.0,0.0,0.0,9.495
2022-01-02 00:00:00,0.005,2.345,0.0,0.0,0.0,9.148
2022-01-02 01:00:00,0.011,2.756,0.0,0.0,0.0,9.0
2022-01-02 02:00:00,0.02,3.09,0.0,0.0,0.0,8.829
2022-01-02 03:00:00,0.028,3.324,0.0,0.0,0.0,8.589
2022-01-02 04:00:00,0.031,3.404,0.0,0.0,0.0,8.314
2022-01-02 05:00:00,0.026,3.266,0.0,0.0,0.0,8.104
2022-01-02 06:00:00,0.024,3.214,0.0,0.0,0.0,7.997
2022-01-02 07:00:00,0.035,3.497,0.0,0.0,0.003,7.82
2022-01-02 08:00:00,0.018,3.025,0.06,0.013,0.071,8.626
2022-01-02 09:00:00,0.008,2.609,0.221,0.072,0.182,10.522
2022-01-02 10:00:00,0.003,2.162,0.397,0.195,0.259,13.077
2022-01-02 11:00:00,0.001,1.767,0.53,0.334,0.289,15.402
2022-01-02 12:00:00,0.001,1.979,0.582,0.397,0.302,17.25
2022-01-02 13:00:00,0.008,2.575,0.543,0.336,0.315,18.59
2022-01-02 14:00:00,0.013,2.841,0.423,0.193,0.307,19.281
2022-01-02 15:00:00,0.014,2.885,0.302,0.107,0.249,19.466
2022-01-02 16:00:00,0.02,3.091,0.161,0.041,0.156,19.08
2022-01-02 17:00:00,0.076,4.288,0.045,0.012,0.058,17.186
2022-01-02 18:00:00,0.225,6.041,0.0,0.0,0.001,14.425
2022-01-02 19:00:00,0.336,6.957,0.0,0.0,0.0,13.71
2022-01-02 20:00:00,0.332,6.933,0.0,0.0,0.0,13.007
2022-01-02 21:00:00,0.277,6.484,0.0,0.0,0.0,12.243
2022-01-02 22:00:00,0.226,6.044,0.0,0.0,0.0,11.563
2022-01-02 23:00:00,0.174,5.535,0.0,0.0,0.0,11.097
2022-01-03 00:00:00,0.148,5.258,0.0,0.0,0.0,10.867
2022-01-03 01:00:00,0.152,5.289,0.0,0.0,0.0,10.776
2022-01-03 02:00:00,0.152,5.294,0.0,0.0,0.0,10.626
2022-01-03 03:00:00,0.133,5.067,0.0,0.0,0.0,10.406
2022-01-03 04:00:00,0.114,4.838,0.0,0.0,0.0,10.185
2022-01-03 05:00:00,0.095,4.584,0.0,0.0,0.0,9.973
2022-01-03 06:00:00,0.079,4.341,0.0,0.0,0.0,9.718
2022-01-03 07:00:00,0.058,3.969,0.0,0.001,0.004,9.519
2022-01-03 08:00:00,0.023,3.18,0.082,0.026,0.082,11.156
2022-01-03 09:00:00,0.037,3.551,0.248,0.103,0.184,13.682
2022-01-03 10:00:00,0.082,4.385,0.405,0.22,0.252,16.676
2022-01-03 11:00:00,0.117,4.87,0.484,0.276,0.299,18.855
2022-01-03 12:00:00,0.153,5.307,0.497,0.268,0.329,20.344
2022-01-03 13:00:00,0.202,5.825,0.461,0.22,0.333,21.253
2022-01-03 14:00:00,0.243,6.196,0.418,0.197,0.303,21.763
2022-01-03 15:00:00,0.268,6.415,0.327,0.142,0.248,21.781
2022-01-03 16:00:00,0.281,6.521,0.241,0.121,0.168,21.291
2022-01-03 17:00:00,0.295,6.637,0.075,0.034,0.069,19.268
2022-01-03 18:00:00,0.416,7.567,0.0,0.0,0.001,16.26
2022-01-03 19:00:00,0.413,7.53,0.0,0.0,0.0,15.463
2022-01-03 20:00:00,0.358,7.121,0.0,0.0,0.0,14.499
2022-01-03 21:00:00,0.3,6.677,0.0,0.0,0.0,13.385
2022-01-03 22:00:00,0.264,6.373,0.0,0.0,0.0,12.683
2022-01-03 23:00:00,0.243,6.2,0.0,0.0,0.0,12.212
2022-01-04 00:00:00,0.235,6.131,0.0,0.0,0.0,11.847
2022-01-04 01:00:00,0.217,5.953,0.0,0.0,0.0,11.51
2022-01-04 02:00:00,0.195,5.756,0.0,0.0,0.0,11.318
2022-01-04 03:00:00,0.171,5.509,0.0,0.0,0.0,11.083
2022-01-04 04:00:00,0.142,5.188,0.0,0.0,0.0,10.863
2022-01-04 05:00:00,0.082,4.381,0.0,0.0,0.0,10.693
2022-01-04 06:00:00,0.055,3.918,0.0,0.0,0.0,10.51
2022-01-04 07:00:00,0.06,4.022,0.0,0.001,0.005,10.394
2022-01-04 08:00:00,0.043,3.688,0.083,0.029,0.08,12.662
2022-01-04 09:00:00,0.089,4.495,0.317,0.2,0.167,15.617
2022-01-04 10:00:00,0.169,5.484,0.528,0.447,0.184,18.707
2022-01-04 11:00:00,0.211,5.911,0.621,0.56,0.208,20.972
2022-01-04 12:00:00,0.236,6.134,0.668,0.629,0.214,22.711
2022-01-04 13:00:00,0.27,6.424,0.64,0.581,0.227,23.885
2022-01-04 14:00:00,0.32,6.834,0.585,0.521,0.211,24.522
2022-01-04 15:00:00,0.379,7.282,0.45,0.351,0.198,24.387
2022-01-04 16:00:00,0.404,7.475,0.25,0.144,0.159,23.404
2022-01-04 17:00:00,0.448,7.799,0.089,0.052,0.069,21.166
2022-01-04 18:00:00,0.528,8.377,0.0,0.0,0.001,17.796
2022-01-04 19:00:00,0.467,7.932,0.0,0.0,0.0,16.473
2022-01-04 20:00:00,0.398,7.432,0.0,0.0,0.0,15.427
2022-01-04 21:00:00,0.358,7.133,0.0,0.0,0.0,14.552
2022-01-04 22:00:00,0.3,6.677,0.0,0.0,0.0,13.73
2022-01-04 23:00:00,0.245,6.218,0.0,0.0,0.0,12.904
2022-01-05 00:00:00,0.201,5.812,0.0,0.0,0.0,12.344
2022-01-05 01:00:00,0.146,5.234,0.0,0.0,0.0,11.987
2022-01-05 02:00:00,0.086,4.446,0.0,0.0,0.0,11.905
2022-01-05 03:00:00,0.037,3.552,0.0,0.0,0.0,11.87
2022-01-05 04:00:00,0.012,2.805,0.0,0.0,0.0,11.782
2022-01-05 05:00:00,0.006,2.494,0.0,0.0,0.0,11.536
2022-01-05 06:00:00,0.005,2.395,0.0,0.0,0.0,11.21
2022-01-05 07:00:00,0.005,2.368,0.0,0.001,0.006,11.039
2022-01-05 08:00:00,0.001,1.941,0.096,0.038,0.086,12.782
2022-01-05 09:00:00,0.001,1.714,0.262,0.123,0.181,15.293
2022-01-05 10:00:00,0.0,1.507,0.43,0.267,0.239,17.998
2022-01-05 11:00:00,0.0,1.452,0.531,0.368,0.272,20.089
2022-01-05 12:00:00,0.0,1.646,0.605,0.48,0.269,21.773
2022-01-05 13:00:00,0.001,1.721,0.618,0.519,0.253,23.036
2022-01-05 14:00:00,0.001,1.843,0.561,0.457,0.237,23.615
2022-01-05 15:00:00,0.003,2.221,0.42,0.287,0.22,23.475
2022-01-05 16:00:00,0.025,3.241,0.264,0.156,0.161,22.696
2022-01-05 17:00:00,0.166,5.446,0.069,0.03,0.068,20.011
2022-01-05 18:00:00,0.413,7.53,0.0,0.0,0.001,16.571
2022-01-05 19:00:00,0.444,7.767,0.0,0.0,0.0,15.975
2022-01-05 20:00:00,0.358,7.133,0.0,0.0,0.0,15.293
2022-01-05 21:00:00,0.282,6.53,0.0,0.0,0.0,14.615
2022-01-05 22:00:00,0.232,6.095,0.0,0.0,0.0,14.179
2022-01-05 23:00:00,0.206,5.861,0.0,0.0,0.0,13.805
2022-01-06 00:00:00,0.159,5.381,0.0,0.0,0.0,13.326
2022-01-06 01:00:00,0.112,4.809,0.0,0.0,0.0,13.029
2022-01-06 02:00:00,0.094,4.563,0.0,0.0,0.0,12.827
2022-01-06 03:00:00,0.096,4.59,0.0,0.0,0.0,12.629
2022-01-06 04:00:00,0.104,4.706,0.0,0.0,0.0,12.359
2022-01-06 05:00:00,0.086,4.451,0.0,0.0,0.0,12.108
2022-01-06 06:00:00,0.1,4.65,0.0,0.0,0.0,11.999
2022-01-06 07:00:00,0.118,4.891,0.0,0.0,0.003,11.898
2022-01-06 08:00:00,0.104,4.708,0.044,0.006,0.062,12.741
2022-01-06 09:00:00,0.133,5.073,0.126,0.013,0.143,13.838
2022-01-06 10:00:00,0.141,5.171,0.192,0.019,0.208,14.835
2022-01-06 11:00:00,0.116,4.861,0.226,0.02,0.244,15.454
2022-01-06 12:00:00,0.102,4.674,0.248,0.022,0.268,15.878
2022-01-06 13:00:00,0.108,4.764,0.241,0.021,0.261,16.035
2022-01-06 14:00:00,0.132,5.056,0.209,0.017,0.23,15.925
