datetime_CST,Wind_CF,wind_speed,PV_CF,DNI,DHI,Temperature
2022-01-01 08:00:00,0.036,3.52,0.05,0.006,0.067,5.813
2022-01-01 09:00:00,0.051,3.847,0.145,0.019,0.153,7.23
2022-01-01 10:00:00,0.049,3.811,0.231,0.034,0.228,8.901
2022-01-01 11:00:00,0.035,3.498,0.311,0.059,0.292,10.421
2022-01-01 12:00:00,0.028,3.336,0.354,0.079,0.323,11.698
2022-01-01 13:00:00,0.03,3.377,0.38,0.106,0.327,12.695
2022-01-01 14:00:00,0.037,3.547,0.362,0.119,0.294,13.387
2022-01-01 15:00:00,0.049,3.817,0.27,0.084,0.227,13.466
2022-01-01 16:00:00,0.068,4.168,0.138,0.036,0.133,12.812
2022-01-01 17:00:00,0.079,4.341,0.017,0.006,0.03,10.756
2022-01-01 18:00:00,0.101,4.663,0.0,0.0,0.0,8.759
2022-01-01 19:00:00,0.107,4.752,0.0,0.0,0.0,7.958
2022-01-01 20:00:00,0.104,4.706,0.0,0.0,0.0,7.13
2022-01-01 21:00:00,0.082,4.371,0.0,0.0,0.0,6.405
2022-01-01 22:00:00,0.073,4.239,0.0,0.0,0.0,5.824
2022-01-01 23:00:00,0.073,4.24,0.0,0.0,0.0,5.273
2022-01-02 00:00:00,0.074,4.262,0.0,0.0,0.0,4.929
2022-01-02 01:00:00,0.077,4.302,0.0,0.0,0.0,4.587
2022-01-02 02:00:00,0.072,4.228,0.0,0.0,0.0,4.116
2022-01-02 03:00:00,0.067,4.141,0.0,0.0,0.0,3.725
2022-01-02 04:00:00,0.076,4.279,0.0,0.0,0.0,3.444
2022-01-02 05:00:00,0.086,4.446,0.0,0.0,0.0,3.346
2022-01-02 06:00:00,0.09,4.51,0.0,0.0,0.0,3.261
2022-01-02 07:00:00,0.083,4.391,0.0,0.003,0.012,3.392
2022-01-02 08:00:00,0.058,3.98,0.13,0.053,0.101,5.256
2022-01-02 09:00:00,0.061,4.033,0.352,0.218,0.175,8.151
2022-01-02 10:00:00,0.043,3.684,0.523,0.396,0.205,11.158
2022-01-02 11:00:00,0.01,2.704,0.633,0.538,0.213,13.15
2022-01-02 12:00:00,0.001,1.771,0.688,0.629,0.205,14.711
2022-01-02 13:00:00,0.0,1.209,0.665,0.604,0.202,15.979
2022-01-02 14:00:00,0.0,1.217,0.562,0.466,0.204,16.684
2022-01-02 15:00:00,0.0,1.382,0.434,0.335,0.173,16.709
2022-01-02 16:00:00,0.0,1.692,0.241,0.157,0.125,16.054
2022-01-02 17:00:00,0.003,2.19,0.04,0.026,0.037,13.621
2022-01-02 18:00:00,0.013,2.83,0.0,0.0,0.0,11.518
2022-01-02 19:00:00,0.032,3.428,0.0,0.0,0.0,10.505
2022-01-02 20:00:00,0.048,3.792,0.0,0.0,0.0,9.439
2022-01-02 21:00:00,0.061,4.037,0.0,0.0,0.0,8.342
2022-01-02 22:00:00,0.07,4.2,0.0,0.0,0.0,7.394
2022-01-02 23:00:00,0.067,4.141,0.0,0.0,0.0,6.779
2022-01-03 00:00:00,0.054,3.9,0.0,0.0,0.0,6.565
2022-01-03 01:00:00,0.041,3.647,0.0,0.0,0.0,6.538
2022-01-03 02:00:00,0.031,3.409,0.0,0.0,0.0,6.608
2022-01-03 03:00:00,0.025,3.24,0.0,0.0,0.0,6.799
2022-01-03 04:00:00,0.021,3.126,0.0,0.0,0.0,6.993
