datetime_CST,Wind_CF,wind_speed,PV_CF,DNI,DHI,Temperature
2022-01-01 08:00:00,0.311,6.771,0.051,0.007,0.068,10.218
2022-01-01 09:00:00,0.358,7.13,0.164,0.026,0.168,11.501
2022-01-01 10:00:00,0.356,7.115,0.29,0.068,0.265,13.225
2022-01-01 11:00:00,0.318,6.822,0.376,0.107,0.326,14.793
2022-01-01 12:00:00,0.285,6.56,0.433,0.148,0.357,16.103
2022-01-01 13:00:00,0.256,6.314,0.44,0.163,0.352,17.091
2022-01-01 14:00:00,0.241,6.179,0.399,0.149,0.317,17.659
2022-01-01 15:00:00,0.245,6.216,0.311,0.11,0.254,17.744
2022-01-01 16:00:00,0.261,6.35,0.175,0.05,0.161,17.247
2022-01-01 17:00:00,0.236,6.136,0.04,0.011,0.053,15.821
2022-01-01 18:00:00,0.253,6.291,0.0,0.0,0.0,13.329
2022-01-01 19:00:00,0.278,6.488,0.0,0.0,0.0,12.412
2022-01-01 20:00:00,0.274,6.468,0.0,0.0,0.0,11.554
2022-01-01 21:00:00,0.25,6.257,0.0,0.0,0.0,10.862
2022-01-01 22:00:00,0.233,6.1,0.0,0.0,0.0,10.32
2022-01-01 23:00:00,0.231,6.084,0.0,0.0,0.0,10.09
2022-01-02 00:00:00,0.245,6.216,0.0,0.0,0.0,9.979
2022-01-02 01:00:00,0.294,6.634,0.0,0.0,0.0,9.716
2022-01-02 02:00:00,0.332,6.926,0.0,0.0,0.0,9.6
2022-01-02 03:00:00,0.323,6.863,0.0,0.0,0.0,9.69
2022-01-02 04:00:00,0.296,6.65,0.0,0.0,0.0,9.474
2022-01-02 05:00:00,0.29,6.593,0.0,0.0,0.0,9.281
2022-01-02 06:00:00,0.302,6.697,0.0,0.0,0.0,9.235
2022-01-02 07:00:00,0.3,6.677,0.0,0.001,0.009,9.234
2022-01-02 08:00:00,0.241,6.183,0.091,0.027,0.09,10.223
2022-01-02 09:00:00,0.227,6.054,0.312,0.171,0.186,12.834
2022-01-02 10:00:00,0.191,5.706,0.545,0.45,0.195,16.039
2022-01-02 11:00:00,0.114,4.843,0.647,0.586,0.208,18.451
2022-01-02 12:00:00,0.053,3.888,0.688,0.648,0.213,20.228
2022-01-02 13:00:00,0.015,2.919,0.674,0.636,0.21,21.493
2022-01-02 14:00:00,0.002,2.071,0.61,0.562,0.196,22.244
2022-01-02 15:00:00,0.0,1.555,0.485,0.413,0.175,22.447
2022-01-02 16:00:00,0.0,1.6,0.3,0.222,0.137,21.964
2022-01-02 17:00:00,0.003,2.216,0.082,0.051,0.061,19.805
2022-01-02 18:00:00,0.022,3.153,0.0,0.0,0.0,16.901
2022-01-02 19:00:00,0.062,4.055,0.0,0.0,0.0,15.452
2022-01-02 20:00:00,0.117,4.869,0.0,0.0,0.0,14.355
2022-01-02 21:00:00,0.16,5.389,0.0,0.0,0.0,13.438
2022-01-02 22:00:00,0.178,5.572,0.0,0.0,0.0,12.595
2022-01-02 23:00:00,0.17,5.502,0.0,0.0,0.0,11.853
2022-01-03 00:00:00,0.147,5.239,0.0,0.0,0.0,11.234
2022-01-03 01:00:00,0.118,4.88,0.0,0.0,0.0,10.712
2022-01-03 02:00:00,0.088,4.474,0.0,0.0,0.0,10.311
2022-01-03 03:00:00,0.068,4.159,0.0,0.0,0.0,10.016
2022-01-03 04:00:00,0.055,3.937,0.0,0.0,0.0,9.789
2022-01-03 05:00:00,0.055,3.933,0.0,0.0,0.0,9.579
2022-01-03 06:00:00,0.064,4.088,0.0,0.0,0.0,9.371
2022-01-03 07:00:00,0.071,4.215,0.002,0.006,0.012,9.467
2022-01-03 08:00:00,0.032,3.423,0.162,0.087,0.105,12.192
2022-01-03 09:00:00,0.004,2.259,0.358,0.234,0.179,15.212
2022-01-03 10:00:00,0.007,2.513,0.497,0.367,0.226,19.333
2022-01-03 11:00:00,0.014,2.865,0.549,0.395,0.275,21.291
2022-01-03 12:00:00,0.025,3.245,0.598,0.46,0.281,22.672
2022-01-03 13:00:00,0.045,3.723,0.601,0.482,0.268,23.619
2022-01-03 14:00:00,0.069,4.181,0.49,0.324,0.274,23.911
2022-01-03 15:00:00,0.093,4.544,0.33,0.157,0.24,23.634
2022-01-03 16:00:00,0.123,4.962,0.179,0.065,0.157,22.907
2022-01-03 17:00:00,0.163,5.421,0.04,0.014,0.052,20.941
2022-01-03 18:00:00,0.228,6.064,0.0,0.0,0.0,18.173
2022-01-03 19:00:00,0.245,6.216,0.0,0.0,0.0,17.23
2022-01-03 20:00:00,0.225,6.031,0.0,0.0,0.0,16.236
2022-01-03 21:00:00,0.206,5.863,0.0,0.0,0.0,15.381
2022-01-03 22:00:00,0.188,5.686,0.0,0.0,0.0,14.623
2022-01-03 23:00:00,0.169,5.485,0.0,0.0,0.0,13.912
2022-01-04 00:00:00,0.124,4.971,0.0,0.0,0.0,13.289
2022-01-04 01:00:00,0.075,4.269,0.0,0.0,0.0,12.777
2022-01-04 02:00:00,0.037,3.553,0.0,0.0,0.0,12.499
2022-01-04 03:00:00,0.013,2.854,0.0,0.0,0.0,12.475
2022-01-04 04:00:00,0.007,2.55,0.0,0.0,0.0,12.416
2022-01-04 05:00:00,0.015,2.935,0.0,0.0,0.0,12.054
2022-01-04 06:00:00,0.026,3.285,0.0,0.0,0.0,11.76
2022-01-04 07:00:00,0.016,2.946,0.003,0.006,0.013,12.092
2022-01-04 08:00:00,0.004,2.285,0.165,0.096,0.103,14.891
2022-01-04 09:00:00,0.036,3.529,0.34,0.219,0.179,18.096
2022-01-04 10:00:00,0.049,3.809,0.529,0.441,0.199,20.766
2022-01-04 11:00:00,0.048,3.781,0.591,0.492,0.24,22.485
2022-01-04 12:00:00,0.055,3.934,0.646,0.579,0.238,23.804
2022-01-04 13:00:00,0.08,4.359,0.636,0.574,0.233,24.716
2022-01-04 14:00:00,0.118,4.891,0.574,0.503,0.217,25.181
2022-01-04 15:00:00,0.16,5.393,0.461,0.377,0.187,25.083
2022-01-04 16:00:00,0.214,5.934,0.287,0.205,0.142,24.365
2022-01-04 17:00:00,0.297,6.654,0.05,0.021,0.057,22.316
2022-01-04 18:00:00,0.458,7.866,0.0,0.0,0.0,19.468
2022-01-04 19:00:00,0.527,8.369,0.0,0.0,0.0,18.609
2022-01-04 20:00:00,0.478,8.008,0.0,0.0,0.0,17.523
2022-01-04 21:00:00,0.374,7.252,0.0,0.0,0.0,16.316
2022-01-04 22:00:00,0.27,6.43,0.0,0.0,0.0,15.222
2022-01-04 23:00:00,0.221,6.001,0.0,0.0,0.0,14.476
2022-01-05 00:00:00,0.186,5.658,0.0,0.0,0.0,13.987
2022-01-05 01:00:00,0.138,5.142,0.0,0.0,0.0,13.626
2022-01-05 02:00:00,0.102,4.676,0.0,0.0,0.0,13.347
2022-01-05 03:00:00,0.082,4.385,0.0,0.0,0.0,13.1
2022-01-05 04:00:00,0.075,4.274,0.0,0.0,0.0,12.859
2022-01-05 05:00:00,0.069,4.182,0.0,0.0,0.0,12.741
2022-01-05 06:00:00,0.052,3.865,0.0,0.0,0.0,12.9
2022-01-05 07:00:00,0.026,3.261,0.001,0.005,0.012,13.373
2022-01-05 08:00:00,0.009,2.66,0.136,0.059,0.109,16.065
2022-01-05 09:00:00,0.034,3.463,0.285,0.134,0.203,19.103
2022-01-05 10:00:00,0.028,3.333,0.448,0.278,0.26,21.421
2022-01-05 11:00:00,0.014,2.874,0.47,0.249,0.321,22.763
2022-01-05 12:00:00,0.009,2.663,0.511,0.288,0.339,23.864
2022-01-05 13:00:00,0.009,2.664,0.515,0.307,0.329,24.72
2022-01-05 14:00:00,0.008,2.57,0.455,0.255,0.301,25.147
2022-01-05 15:00:00,0.004,2.281,0.287,0.1,0.248,24.851
2022-01-05 16:00:00,0.001,1.871,0.124,0.024,0.137,24.058
2022-01-05 17:00:00,0.003,2.143,0.024,0.005,0.042,22.427
2022-01-05 18:00:00,0.023,3.193,0.0,0.0,0.0,20.317
2022-01-05 19:00:00,0.067,4.131,0.0,0.0,0.0,19.224
2022-01-05 20:00:00,0.101,4.671,0.0,0.0,0.0,18.298
2022-01-05 21:00:00,0.107,4.744,0.0,0.0,0.0,17.484
2022-01-05 22:00:00,0.079,4.345,0.0,0.0,0.0,16.701
2022-01-05 23:00:00,0.045,3.722,0.0,0.0,0.0,16.194
2022-01-06 00:00:00,0.031,3.398,0.0,0.0,0.0,15.983
2022-01-06 01:00:00,0.048,3.784,0.0,0.0,0.0,15.606
2022-01-06 02:00:00,0.062,4.055,0.0,0.0,0.0,15.221
2022-01-06 03:00:00,0.1,4.639,0.0,0.0,0.0,14.828
2022-01-06 04:00:00,0.177,5.56,0.0,0.0,0.0,14.36
2022-01-06 05:00:00,0.236,6.139,0.0,0.0,0.0,14.015
2022-01-06 06:00:00,0.245,6.216,0.0,0.0,0.0,13.722
2022-01-06 07:00:00,0.24,6.166,0.0,0.001,0.007,13.604
2022-01-06 08:00:00,0.197,5.771,0.044,0.005,0.064,14.313
2022-01-06 09:00:00,0.19,5.695,0.123,0.012,0.142,15.648
2022-01-06 10:00:00,0.168,5.479,0.201,0.022,0.218,17.171
2022-01-06 11:00:00,0.112,4.805,0.28,0.04,0.29,18.585
2022-01-06 12:00:00,0.046,3.757,0.32,0.053,0.326,19.802
2022-01-06 13:00:00,0.012,2.78,0.319,0.054,0.324,20.728
2022-01-06 14:00:00,0.003,2.202,0.317,0.069,0.309,21.406
2022-01-06 15:00:00,0.006,2.491,0.24,0.048,0.241,21.495
2022-01-06 16:00:00,0.039,3.59,0.133,0.022,0.147,20.9
2022-01-06 17:00:00,0.156,5.341,0.023,0.004,0.041,19.25
2022-01-06 18:00:00,0.322,6.847,0.0,0.0,0.0,17.191
2022-01-06 19:00:00,0.438,7.725,0.0,0.0,0.0,15.756
2022-01-06 20:00:00,0.496,8.144,0.0,0.0,0.0,14.396
2022-01-06 21:00:00,0.537,8.439,0.0,0.0,0.0,13.143
2022-01-06 22:00:00,0.531,8.396,0.0,0.0,0.0,12.124
